physical_auto_id,physical_individual_id,physical_cohort_id,physical_date,physical_length_mm,physical_weight_g,physical_brilliance
65,x1l7s5,,20130419,53,219.9,brilliant
55,mjsbjz,,20130419,48,199.2,brilliant
63,einr67,,20130419,48,199.2,brilliant
67,w0e820,,20130419,47,195,brilliant
15,49gi1l,,20120307,46,190.9,brilliant
88,27eiun,,20130419,46,190.9,brilliant
100,dkl1ex,,20130419,46,190.9,brilliant
70,qb58ot,,20130419,45,186.7,brilliant
6,7wbixa,,20120307,45,186.7,brilliant
78,abhfux,,20130419,45,186.7,brilliant
98,mfbg0y,,20130419,45,186.7,brilliant
64,ckyfsg,,20130419,44,182.6,brilliant
95,drjf9h,,20130419,44,182.6,brilliant
36,euat6s,,20120307,44,182.6,brilliant
71,taztfe,,20130419,43,178.4,brilliant
91,47rrsv,,20130419,43,178.4,brilliant
44,kgmcrw,,20120508,43,178.4,brilliant
52,8450cy,,20130419,43,178.4,brilliant
82,uxdjh6,,20130419,43,178.4,briliant
9,eoi6dr,,20120307,43,178.4,briliant
74,9abmdn,,20130419,43,178.4,briliant
56,wm6mt3,,20130419,43,178.4,briliant
11,32d0qm,,20120307,42,174.3,briliant
57,wx265z,,20130419,42,174.3,briliant
66,xgdfi9,,20130419,42,174.3,briliant
31,3uvtoz,,20120307,41,170.1,briliant
77,o4sb7z,,20130419,41,170.1,briliant
19,wn5vtm,,20120307,41,170.1,briliant
51,yczwg1,,20130419,40,166,bright
86,i3fdqx,,20130419,40,166,bright
99,wlg5ag,,20130419,39,161.8,bright
80,95lpbn,,20130419,39,161.8,bright
43,kjeqsj,,20120508,38,157.7,bright
73,9n82fe,,20130419,38,157.7,bright
54,q8m1s8,,20130419,37,153.5,bright
10,cp8y2g,,20120307,36,149.4,bright
24,tabacd,,20120307,35,145.2,bright
84,3e67ng,,20130419,35,145.2,bright
97,lmyau4,,20130419,35,145.2,bright
39,tu7ysh,,20120307,35,145.2,bright
20,7vzzd0,,20120307,35,145.2,bright
28,ov0tu5,,20120307,34,141.1,bright
30,14dsvp,,20120307,34,141.1,bright
50,dyhfrw,,20120508,34,141.1,brigth
5,x7cktt,,20120307,34,141.1,brigth
18,71ik7z,,20120307,34,141.1,brigth
87,ncq9hw,,20130419,34,141.1,brigth
60,zy3hjg,,20130419,34,141.1,brigth
38,fteebk,,20120307,33,136.9,brigth
69,h6fjbv,,20130419,33,136.9,brigth
23,lcll8k,,20120307,33,136.9,average
62,4ft1wm,,20130419,32,132.8,average
79,ahgxlh,,20130419,32,132.8,average
96,elsmky,,20130419,32,132.8,average
12,vnu9ld,,20120307,31,128.6,average
46,67t7np,,20120508,31,128.6,average
58,uc6vn4,,20130419,31,128.6,average
1,p08i7f,,20120307,31,128.6,average
81,97a73h,,20130419,31,128.6,average
4,uz853y,,20120307,30,124.5,average
26,ggfljt,,20120307,27,112,average
48,yfq51c,,20120508,26,107.9,average
17,vqqe4i,,20120307,25,103.7,average
42,pi01l5,,20120508,25,103.7,average
85,46a9xb,,20130419,25,103.7,average
29,makeyl,,20120307,25,103.7,average
75,tw6tzk,,20130419,24,99.6,average
72,cce46z,,20130419,24,99.6,average
2,7bec0f,,20120307,24,99.6,average
61,mowb3f,,20130419,24,99.6,dull
32,qa9l63,,20120307,23,95.4,dull
90,trhunr,,20130419,23,95.4,dull
21,jbhoqw,,20120307,23,95.4,dull
89,4cis0b,,20130419,23,95.4,dull
7,jhpvl6,,20120307,23,95.4,dull
16,50ax1v,,20120307,23,95.4,dull
33,o7op40,,20120307,23,95.4,dull
35,ghwhtp,,20120307,22,91.3,dull
41,d05cke,,20120508,22,91.3,dull
68,yjisq5,,20130419,21,87.1,dull
45,cybzlq,,20120508,21,87.1,dull
37,szt4da,,20120307,20,83,dull
14,d21iac,,20120307,19,78.8,dull
94,obs5v0,,20130419,19,78.8,dull
59,vjsz0l,,20130419,19,78.8,dull
83,ru6wzb,,20130419,19,78.8,dull
25,eefw0m,,20120307,18,74.7,dull
47,38szrk,,20120508,18,74.7,dull
